## date = '2019-05-11 18:34:03.107665'
## execstr = '/anaconda3/envs/riboseq/bin/metagene count genome/chrM_orfs_start_rois_ND4.txt data/metagene/WT_2/WT_2_ND4start --count_files data/mapping/WT_2.bam --threeprime --norm_region 30 200 --min_counts 0 --cmap Blues'
## args = {  
##          'big_genome'       : False,,
##          'cmap'             : 'Blues',,
##          'count_files'      : ['data/mapping/WT_2.bam'],,
##          'countfile_format' : 'BAM',,
##          'dpi'              : 150,,
##          'figformat'        : 'png',,
##          'figsize'          : None,,
##          'keep'             : False,,
##          'landmark'         : None,,
##          'mapping'          : 'threeprime',,
##          'max_length'       : 100,,
##          'maxmem'           : 0,,
##          'min_counts'       : 0,,
##          'min_length'       : 25,,
##          'nibble'           : 0,,
##          'norm_region'      : [30, 200],,
##          'normalize_over'   : None,,
##          'offset'           : 0,,
##          'outbase'          : 'data/metagene/WT_2/WT_2_ND4start',,
##          'program'          : 'count',,
##          'roi_file'         : 'genome/chrM_orfs_start_rois_ND4.txt',,
##          'stylesheet'       : None,,
##          'sum'              : None,,
##          'title'            : None,,
##          'use_mean'         : False,,
##          'warnlevel'        : 0,
##        }
x	metagene_average	regions_counted
-100	0.0	1
-99	0.00784313725490196	1
-98	0.0	1
-97	0.047058823529411764	1
-96	0.00261437908496732	1
-95	0.00130718954248366	1
-94	0.0	1
-93	0.0	1
-92	0.0	1
-91	0.00261437908496732	1
-90	0.00784313725490196	1
-89	0.00261437908496732	1
-88	0.040522875816993466	1
-87	0.00261437908496732	1
-86	0.022222222222222223	1
-85	0.00522875816993464	1
-84	0.12156862745098039	1
-83	0.01045751633986928	1
-82	0.0	1
-81	0.01568627450980392	1
-80	0.01045751633986928	1
-79	0.0	1
-78	0.0	1
-77	0.0	1
-76	0.00784313725490196	1
-75	0.026143790849673203	1
-74	0.00130718954248366	1
-73	0.0	1
-72	0.0	1
-71	0.01045751633986928	1
-70	0.013071895424836602	1
-69	0.02483660130718954	1
-68	0.00784313725490196	1
-67	0.0	1
-66	0.0	1
-65	0.00130718954248366	1
-64	0.01045751633986928	1
-63	0.022222222222222223	1
-62	0.030065359477124184	1
-61	0.00392156862745098	1
-60	0.00261437908496732	1
-59	0.00522875816993464	1
-58	0.0	1
-57	0.00784313725490196	1
-56	0.00261437908496732	1
-55	0.058823529411764705	1
-54	0.00392156862745098	1
-53	0.02483660130718954	1
-52	0.00261437908496732	1
-51	0.00261437908496732	1
-50	0.00130718954248366	1
-49	0.00392156862745098	1
-48	0.0	1
-47	0.00261437908496732	1
-46	0.00392156862745098	1
-45	0.00130718954248366	1
-44	0.0	1
-43	0.00130718954248366	1
-42	0.0	1
-41	0.00392156862745098	1
-40	0.0	1
-39	0.00130718954248366	1
-38	0.0	1
-37	0.0	1
-36	0.00130718954248366	1
-35	0.0	1
-34	0.00522875816993464	1
-33	0.013071895424836602	1
-32	0.00261437908496732	1
-31	0.0	1
-30	0.00261437908496732	1
-29	0.00261437908496732	1
-28	0.009150326797385621	1
-27	0.0	1
-26	0.0	1
-25	0.0	1
-24	0.03398692810457516	1
-23	0.00261437908496732	1
-22	0.0	1
-21	0.01045751633986928	1
-20	0.00784313725490196	1
-19	0.0	1
-18	0.0	1
-17	0.0	1
-16	0.009150326797385621	1
-15	0.02091503267973856	1
-14	0.00130718954248366	1
-13	0.0	1
-12	0.0	1
-11	0.0	1
-10	0.00130718954248366	1
-9	0.00522875816993464	1
-8	0.00522875816993464	1
-7	0.0	1
-6	0.0	1
-5	0.00522875816993464	1
-4	0.00130718954248366	1
-3	0.018300653594771243	1
-2	0.00130718954248366	1
-1	0.0	1
0	0.0	1
1	0.00392156862745098	1
2	0.013071895424836602	1
3	0.00261437908496732	1
4	0.00130718954248366	1
5	0.0	1
6	0.00130718954248366	1
7	0.00261437908496732	1
8	0.00392156862745098	1
9	0.00392156862745098	1
10	0.0	1
11	0.0	1
12	0.0	1
13	0.00130718954248366	1
14	0.00130718954248366	1
15	0.00130718954248366	1
16	0.0196078431372549	1
17	0.058823529411764705	1
18	0.10588235294117647	1
19	0.00130718954248366	1
20	0.0	1
21	0.00784313725490196	1
22	0.00522875816993464	1
23	0.00522875816993464	1
24	0.00261437908496732	1
25	0.00130718954248366	1
26	0.0	1
27	0.0	1
28	0.00130718954248366	1
29	0.0	1
30	0.0	1
31	0.0	1
32	0.0	1
33	0.00261437908496732	1
34	0.0	1
35	0.00130718954248366	1
36	0.01437908496732026	1
37	0.00392156862745098	1
38	0.006535947712418301	1
39	0.00261437908496732	1
40	0.01045751633986928	1
41	0.0	1
42	0.01568627450980392	1
43	0.0	1
44	0.0	1
45	0.009150326797385621	1
46	0.00130718954248366	1
47	0.0	1
48	0.00261437908496732	1
49	0.0	1
50	0.0	1
51	0.009150326797385621	1
52	0.048366013071895426	1
53	0.00784313725490196	1
54	0.0	1
55	0.00130718954248366	1
56	0.00130718954248366	1
57	0.0	1
58	0.0	1
59	0.01437908496732026	1
60	0.00261437908496732	1
61	0.00130718954248366	1
62	0.00392156862745098	1
63	0.00130718954248366	1
64	0.0	1
65	0.0	1
66	0.00261437908496732	1
67	0.0	1
68	0.0	1
69	0.006535947712418301	1
70	0.0	1
71	0.0	1
72	0.0	1
73	0.00130718954248366	1
74	0.00130718954248366	1
75	0.0	1
76	0.00392156862745098	1
77	0.00392156862745098	1
78	0.0	1
79	0.0	1
80	0.0	1
81	0.0	1
82	0.00392156862745098	1
83	0.0	1
84	0.00130718954248366	1
85	0.01568627450980392	1
86	0.06274509803921569	1
87	0.00392156862745098	1
88	0.00261437908496732	1
89	0.00261437908496732	1
90	0.00392156862745098	1
91	0.009150326797385621	1
92	0.043137254901960784	1
93	0.013071895424836602	1
94	0.00130718954248366	1
95	0.0	1
96	0.00130718954248366	1
97	0.0	1
98	0.0	1
99	0.00261437908496732	1
