## date = '2019-05-11 18:33:52.720741'
## execstr = '/anaconda3/envs/riboseq/bin/metagene count genome/chrM_orfs_start_rois_ND4.txt data/metagene/WT_1/WT_1_ND4start --count_files data/mapping/WT_1.bam --threeprime --norm_region 30 200 --min_counts 0 --cmap Blues'
## args = {  
##          'big_genome'       : False,,
##          'cmap'             : 'Blues',,
##          'count_files'      : ['data/mapping/WT_1.bam'],,
##          'countfile_format' : 'BAM',,
##          'dpi'              : 150,,
##          'figformat'        : 'png',,
##          'figsize'          : None,,
##          'keep'             : False,,
##          'landmark'         : None,,
##          'mapping'          : 'threeprime',,
##          'max_length'       : 100,,
##          'maxmem'           : 0,,
##          'min_counts'       : 0,,
##          'min_length'       : 25,,
##          'nibble'           : 0,,
##          'norm_region'      : [30, 200],,
##          'normalize_over'   : None,,
##          'offset'           : 0,,
##          'outbase'          : 'data/metagene/WT_1/WT_1_ND4start',,
##          'program'          : 'count',,
##          'roi_file'         : 'genome/chrM_orfs_start_rois_ND4.txt',,
##          'stylesheet'       : None,,
##          'sum'              : None,,
##          'title'            : None,,
##          'use_mean'         : False,,
##          'warnlevel'        : 0,
##        }
x	metagene_average	regions_counted
-100	0.0	1
-99	0.0042643923240938165	1
-98	0.0042643923240938165	1
-97	0.03411513859275053	1
-96	0.0010660980810234541	1
-95	0.0010660980810234541	1
-94	0.0	1
-93	0.0	1
-92	0.0010660980810234541	1
-91	0.0021321961620469083	1
-90	0.006396588486140725	1
-89	0.0021321961620469083	1
-88	0.03624733475479744	1
-87	0.0021321961620469083	1
-86	0.022388059701492536	1
-85	0.005330490405117271	1
-84	0.08315565031982942	1
-83	0.0010660980810234541	1
-82	0.0021321961620469083	1
-81	0.010660980810234541	1
-80	0.008528784648187633	1
-79	0.0	1
-78	0.0010660980810234541	1
-77	0.0	1
-76	0.008528784648187633	1
-75	0.008528784648187633	1
-74	0.0010660980810234541	1
-73	0.0	1
-72	0.0010660980810234541	1
-71	0.009594882729211088	1
-70	0.017057569296375266	1
-69	0.02771855010660981	1
-68	0.021321961620469083	1
-67	0.0010660980810234541	1
-66	0.0	1
-65	0.0031982942430703624	1
-64	0.013859275053304905	1
-63	0.022388059701492536	1
-62	0.03411513859275053	1
-61	0.0042643923240938165	1
-60	0.007462686567164179	1
-59	0.013859275053304905	1
-58	0.0	1
-57	0.013859275053304905	1
-56	0.0042643923240938165	1
-55	0.05970149253731343	1
